id,px,py,pz,rx,ry,rz
0,0.133615,0.369622,0.414292,-0.322009,-0.850546,-0.409877,0.069879
0,0.30275,0.589404,0.433085,-0.397301,-0.899538,-0.057186,0.172375
1,0.297505,0.521396,0.413547,-0.402988,-0.880589,-0.140747,0.205802
2,0.29178,0.457006,0.392149,-0.405339,-0.853058,-0.226035,0.238539
3,0.28607,0.39672,0.371155,-0.404049,-0.819115,-0.306493,0.26806
4,0.232646,0.589806,0.435142,-0.390946,-0.912128,-0.09059,0.083533
5,0.231071,0.521373,0.414266,-0.388684,-0.896176,-0.177383,0.119706
6,0.229258,0.456842,0.39135,-0.382563,-0.870961,-0.265835,0.156222
7,0.227483,0.396741,0.368822,-0.37314,-0.838594,-0.348527,0.189883
8,0.161633,0.58975,0.434136,0.381022,0.91544,0.12935,0.007749
9,0.164063,0.521289,0.413327,-0.370074,-0.903183,-0.215444,0.029828
10,0.166693,0.456796,0.390487,-0.355094,-0.881728,-0.302936,0.068508
11,0.169305,0.396673,0.368004,-0.337475,-0.852874,-0.384266,0.105153
12,0.091581,0.5891,0.430095,0.366917,0.909822,0.169944,0.093357
13,0.097592,0.521093,0.410687,0.34829,0.901223,0.251658,0.056208
14,0.104153,0.45675,0.389522,0.325876,0.884207,0.334191,0.017264
15,0.110617,0.396497,0.368611,-0.301469,-0.860173,-0.410852,0.020495
16,0.299087,0.586988,0.480037,-0.397275,-0.899769,-0.081403,0.161124
17,0.295156,0.520359,0.462538,-0.400477,-0.882864,-0.15455,0.190484
18,0.290846,0.456617,0.443699,-0.40099,-0.859573,-0.228532,0.21935
19,0.286601,0.39593,0.425044,-0.398835,-0.83122,-0.299149,0.245995
20,0.230852,0.587197,0.481235,-0.390087,-0.910092,-0.111372,0.084619
21,0.229675,0.520355,0.462811,-0.387067,-0.895513,-0.186491,0.116003
22,0.228459,0.456484,0.442974,-0.381295,-0.874062,-0.262434,0.147508
23,0.227225,0.395873,0.423336,-0.373021,-0.847133,-0.334462,0.177077
24,0.16214,0.587114,0.480204,-0.38005,-0.913601,-0.144402,0.006532
25,0.163956,0.520299,0.461789,-0.370576,-0.901769,-0.219013,0.038975
26,0.165974,0.456403,0.442058,-0.358333,-0.883076,-0.294234,0.072111
27,0.167948,0.395802,0.422441,-0.343844,-0.858805,-0.3653,0.103836
28,0.093917,0.586713,0.477116,0.367009,0.91037,0.178597,0.068066
29,0.098543,0.520106,0.45977,0.351731,0.901305,0.250326,0.03565
30,0.10355,0.456324,0.441117,0.333762,0.885863,0.322249,0.002089
31,0.108527,0.395669,0.422496,-0.314041,-0.865039,-0.390072,0.030475
